,id,question,code_concise,code_verbose,answer,predict
411,412,What is the maximum recorded delay time? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",120
412,413,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3.
413,414,How many shipments occurred per month? (detailed),df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.month)['id'].count(),"df['date']=pd.to_datetime(df['date'])
# shipments per month
result = df.groupby(df['date'].dt.month)['id'].count().reset_index(name='count')
","date
1     92
2     87
3     93
4     90
5     93
6     90
7     93
8     93
9     87
10    62
11    60
12    60
Name: id, dtype: int64","      month  shipment_count
0   2024-01              92
1   2024-02              87
2   2024-03              93
3   2024-04              90
4   2024-05              93
5   2024-06              90
6   2024-07              93
7   2024-08              93
8   2024-09              87
9   2024-10              62
10  2024-11              60
11  2024-12              60"
414,415,Rank all routes by reliability (fewest delays to most). (count only),result = df.groupby('route').apply(lambda g:(g['delay_minutes']==0).mean()).sort_values(ascending=False),"# rank routes by on-time rate
result = df.groupby('route').apply(lambda g: (g['delay_minutes']==0).mean()).sort_values(ascending=False).reset_index(name='on_time_rate')
","route
Route C    0.191257
Route A    0.186275
Route E    0.169014
Route D    0.157635
Route B    0.147208
dtype: float64","     route  delay_count
0  Route C          148
1  Route A          166
2  Route B          168
3  Route D          171
4  Route E          177"
415,416,Which warehouse handled the most shipments overall? (detailed),result = df['warehouse'].value_counts().idxmax(),"# warehouse with most shipments
result = df['warehouse'].value_counts().idxmax()
",WH1,"  warehouse  num_shipments
0       WH1            272"
416,417,List top 5 routes with longest delays this quarter. (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     route  total_delays
0  Route E            64
1  Route A            58
2  Route C            54
3  Route B            54
4  Route D            42"
417,418,How many shipments were sent from each warehouse? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  shipment_count
0       WH1             272
1       WH4             250
2       WH3             242
3       WH2             236"
418,419,Which warehouse handled the most shipments overall? (detailed),result = df['warehouse'].value_counts().idxmax(),"# warehouse with most shipments
result = df['warehouse'].value_counts().idxmax()
",WH1,The warehouse that handled the most shipments overall is 'WH1' with a total of 272 shipments.
419,420,How many shipments were sent from each warehouse? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  shipment_count
0       WH1             272
1       WH4             250
2       WH3             242
3       WH2             236"
420,421,What is the 95th percentile of delivery time? (detailed),result = df['delivery_time'].quantile(0.95),"# 95th percentile of delivery_time
result = df['delivery_time'].quantile(0.95)
",6.87,6.87
421,422,Which route has the lowest average delivery time? (detailed),result = df.groupby('route')['delivery_time'].mean().idxmin(),"# route with lowest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmin()
",Route B,The route with the lowest average delivery time is 'Route B' with an average delivery time of 5.44 hours.
422,423,Which month had the highest delay rate? (count only),df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.month).apply(lambda g:(g['delay_minutes']>0).mean()).idxmax(),"df['date']=pd.to_datetime(df['date'])
# month with highest delay rate
result = df.groupby(df['date'].dt.month).apply(lambda g: (g['delay_minutes']>0).mean()).idxmax()
",9,The month with the highest delay rate is 3.
423,424,What is the median delivery time by route? (detailed),result = df.groupby('route')['delivery_time'].median(),"# median delivery time by route
result = df.groupby('route')['delivery_time'].median().reset_index()
","route
Route A    5.55
Route B    5.47
Route C    5.69
Route D    5.37
Route E    5.51
Name: delivery_time, dtype: float64","     route  median_delivery_time
0  Route A                  5.55
1  Route B                  5.47
2  Route C                  5.69
3  Route D                  5.37
4  Route E                  5.51"
424,425,Which warehouse shows the shortest delivery time overall? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the shortest delivery time overall is 'WH4' with an average delivery time of 5.45 units.
425,426,Which route had the fewest shipments? (detailed),result = df['route'].value_counts().idxmin(),"# route with fewest shipments
result = df['route'].value_counts().idxmin()
",Route C,The route with the fewest shipments is 'Route C' with 183 shipment(s).
426,427,Which warehouse handled the most shipments overall? (detailed),result = df['warehouse'].value_counts().idxmax(),"# warehouse with most shipments
result = df['warehouse'].value_counts().idxmax()
",WH1,"  warehouse  shipment_count
0       WH1             272"
427,428,Which warehouse shows the shortest delivery time overall? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the shortest delivery time overall is 'WH4' with an average delivery time of 5.45.
428,429,Show all shipments delayed last week. (count only),df['date']=pd.to_datetime(df['date']); maxd=df['date'].max(); last_week=df[(df['date']>maxd-pd.Timedelta(days=7))]; result = last_week[last_week['delay_minutes']>0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
last_week = df[(df['date'] > max_date - pd.Timedelta(days=7))]
result = last_week[last_week['delay_minutes'] > 0].reset_index(drop=True)
","      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
357  358  Route A       WH4           4.91             21  Mechanical Issue   
358  359  Route C       WH4           6.27             51           Traffic   
359  360  Route C       WH1           6.64             27       Driver Rest   
360  361  Route E       WH2           6.38             62     Customs Delay   
361  362  Route D       WH2           5.65            117           Weather   
362  363  Route A       WH3           5.72             46           Weather   
363  364  Route B       WH1           4.46            118           Traffic   
722  723  Route C       WH4           5.08             69           Traffic   
723  724  Route D       WH1           6.23             71           Weather   
725  726  Route C       WH4           5.54              6   Minor Breakdown   
726  727  Route B       WH3           6.11             26           Traffic   
727  728  Route A       WH1           5.35             38           Traffic   
728  729  Route A       WH4           6.65             97       Driver Rest   

          date  
357 2024-12-24  
358 2024-12-25  
359 2024-12-26  
360 2024-12-27  
361 2024-12-28  
362 2024-12-29  
363 2024-12-30  
722 2024-12-24  
723 2024-12-25  
725 2024-12-27  
726 2024-12-28  
727 2024-12-29  
728 2024-12-30  ",12
429,430,What is the median delivery time by route? (detailed),result = df.groupby('route')['delivery_time'].median(),"# median delivery time by route
result = df.groupby('route')['delivery_time'].median().reset_index()
","route
Route A    5.55
Route B    5.47
Route C    5.69
Route D    5.37
Route E    5.51
Name: delivery_time, dtype: float64","       route  median_delivery_time
0    Route E                  5.51
1    Route E                  5.51
2    Route E                  5.51
3    Route E                  5.51
4    Route E                  5.51
..       ...                   ...
995  Route C                  5.69
996  Route C                  5.69
997  Route C                  5.69
998  Route C                  5.69
999  Route C                  5.69

[1000 rows x 2 columns]"
430,431,Which warehouse has the longest average delay? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the longest average delay is WH2.
431,432,What is the average delay time across all shipments? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
432,433,What is the 95th percentile of delivery time? (detailed),result = df['delivery_time'].quantile(0.95),"# 95th percentile of delivery_time
result = df['delivery_time'].quantile(0.95)
",6.87,6.87
433,434,Show average delay per route in the last two weeks. (count only),df['date']=pd.to_datetime(df['date']); maxd=df['date'].max(); window=df[(df['date']>maxd-pd.Timedelta(days=13))]; result = window.groupby('route')['delay_minutes'].mean(),"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
window = df[(df['date'] > max_date - pd.Timedelta(days=13))]
result = window.groupby('route')['delay_minutes'].mean().reset_index()
","route
Route A    43.333333
Route B    44.500000
Route C    30.600000
Route D    97.200000
Route E    48.000000
Name: delay_minutes, dtype: float64","     route  average_delay
0  Route D      81.000000
1  Route B      50.200000
2  Route E      49.714286
3  Route C      43.500000
4  Route A      43.333333"
434,435,How many shipments were sent from each warehouse? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  num_shipments
0       WH1            272
1       WH4            250
2       WH3            242
3       WH2            236"
435,436,Which route has the highest average delivery time? (detailed),result = df.groupby('route')['delivery_time'].mean().idxmax(),"# route with highest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmax()
",Route C,"     route  avg_delivery_time
0  Route C           5.573716
1  Route A           5.546961
2  Route D           5.461773
3  Route E           5.453333
4  Route B           5.438376"
436,437,List all shipments in October with delay above 20 minutes. (count only),df['date']=pd.to_datetime(df['date']); result = df[(df['date'].dt.month==10)&(df['delay_minutes']>20)],"df['date']=pd.to_datetime(df['date'])
result = df[(df['date'].dt.month == 10) & (df['delay_minutes'] > 20)].reset_index(drop=True)
","      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
273  274  Route B       WH2           4.12             77  Mechanical Issue   
275  276  Route C       WH2           5.81             78  Mechanical Issue   
276  277  Route D       WH4           6.19             69   Minor Breakdown   
277  278  Route A       WH1           6.41            108     Customs Delay   
278  279  Route B       WH4           4.25             28           Weather   
279  280  Route E       WH3           5.11             58  Mechanical Issue   
280  281  Route D       WH1           6.30             28  Mechanical Issue   
281  282  Route E       WH1           5.29            120           Traffic   
283  284  Route C       WH1           4.56             23           Weather   
284  285  Route C       WH2           5.20             88           Traffic   
285  286  Route E       WH3           6.27             28  Mechanical Issue   
286  287  Route B       WH1           5.10             46       Driver Rest   
287  288  Route B       WH3           5.19             88     Customs Delay   
288  289  Route C       WH1           4.09             81   Minor Breakdown   
289  290  Route D       WH1           4.83             86       Driver Rest   
291  292  Route A       WH3           5.22             33     Customs Delay   
292  293  Route E       WH4           4.07             21           Weather   
296  297  Route D       WH2           5.80            101  Mechanical Issue   
299  300  Route E       WH1           6.16             31           Traffic   
300  301  Route A       WH4           6.54             83  Mechanical Issue   
303  304  Route E       WH2           5.60            104  Mechanical Issue   
638  639  Route D       WH2           5.85             54           Weather   
639  640  Route D       WH4           4.36             29           Traffic   
640  641  Route B       WH2           6.29             72  Mechanical Issue   
642  643  Route E       WH2           4.11             93     Customs Delay   
643  644  Route B       WH1           6.40            107     Customs Delay   
647  648  Route E       WH2           6.72            110           Traffic   
648  649  Route E       WH1           6.44             29           Traffic   
651  652  Route C       WH4           6.23             93           Weather   
652  653  Route E       WH3           4.80            100           Weather   
653  654  Route B       WH4           5.47            113           Traffic   
656  657  Route D       WH1           4.45             87           Traffic   
657  658  Route A       WH3           4.20             71   Minor Breakdown   
658  659  Route B       WH2           6.48            106  Mechanical Issue   
660  661  Route E       WH1           5.93             83           Traffic   
661  662  Route E       WH1           6.06            110           Weather   
662  663  Route B       WH4           4.98             98   Minor Breakdown   
663  664  Route A       WH1           5.09             50   Minor Breakdown   
666  667  Route A       WH3           4.22             97           Weather   
668  669  Route B       WH1           4.38             86           Weather   

          date  
273 2024-10-01  
275 2024-10-03  
276 2024-10-04  
277 2024-10-05  
278 2024-10-06  
279 2024-10-07  
280 2024-10-08  
281 2024-10-09  
283 2024-10-11  
284 2024-10-12  
285 2024-10-13  
286 2024-10-14  
287 2024-10-15  
288 2024-10-16  
289 2024-10-17  
291 2024-10-19  
292 2024-10-20  
296 2024-10-24  
299 2024-10-27  
300 2024-10-28  
303 2024-10-31  
638 2024-10-01  
639 2024-10-02  
640 2024-10-03  
642 2024-10-05  
643 2024-10-06  
647 2024-10-10  
648 2024-10-11  
651 2024-10-14  
652 2024-10-15  
653 2024-10-16  
656 2024-10-19  
657 2024-10-20  
658 2024-10-21  
660 2024-10-23  
661 2024-10-24  
662 2024-10-25  
663 2024-10-26  
666 2024-10-29  
668 2024-10-31  ",40
437,438,What is the average delay time across all shipments? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
438,439,What is the average delay time per warehouse? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  average_delay_time
0       WH4           52.124000
1       WH3           54.206612
2       WH1           50.613971
3       WH2           54.525424"
439,440,What is the average delay time across all shipments? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
440,441,What is the most recent shipment date? (detailed),df['date']=pd.to_datetime(df['date']); result = df['date'].max(),"df['date']=pd.to_datetime(df['date'])
# most recent shipment date
result = df['date'].max()
",2024-12-30 00:00:00,The most recent shipment date is 2024-12-30 00:00:00.
441,442,List top 5 routes with longest delays this quarter. (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     route  delay_count
0  Route E           35
1  Route B           35
2  Route D           34
3  Route A           22
4  Route C           21"
442,443,What is the average delay time per warehouse? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  average_delay_minutes
0       WH2              54.525424
1       WH3              54.206612
2       WH4              52.124000
3       WH1              50.613971"
443,444,How many shipments took more than 6 days? (detailed),result = (df['delivery_time']>6).sum(),"# shipments with delivery_time more than 6
result = df[df['delivery_time'] > 6].shape[0]
",318,"      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0      5  Route C       WH4           6.13            120           Traffic   
1     12  Route C       WH2           6.60              7       Driver Rest   
2     14  Route A       WH4           6.44            119   Minor Breakdown   
3     18  Route E       WH3           6.53             87   Minor Breakdown   
4     23  Route E       WH2           6.37             45   Minor Breakdown   
..   ...      ...       ...            ...            ...               ...   
313  986  Route D       WH3           6.06             69  Mechanical Issue   
314  988  Route D       WH2           6.11             17       Driver Rest   
315  991  Route A       WH2           6.02             80  Mechanical Issue   
316  993  Route D       WH1           6.03             65           Traffic   
317  995  Route A       WH4           6.35             57           Traffic   

          date  
0   2024-01-06  
1   2024-01-13  
2   2024-01-15  
3   2024-01-19  
4   2024-01-24  
..         ...  
313 2024-09-13  
314 2024-09-15  
315 2024-09-18  
316 2024-09-20  
317 2024-09-22  

[318 rows x 7 columns]"
444,445,How many shipments were sent from each warehouse? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  num_shipments
0       WH1            272
1       WH4            250
2       WH3            242
3       WH2            236"
445,446,Rank all routes by reliability (fewest delays to most). (count only),result = df.groupby('route').apply(lambda g:(g['delay_minutes']==0).mean()).sort_values(ascending=False),"# rank routes by on-time rate
result = df.groupby('route').apply(lambda g: (g['delay_minutes']==0).mean()).sort_values(ascending=False).reset_index(name='on_time_rate')
","route
Route C    0.191257
Route A    0.186275
Route E    0.169014
Route D    0.157635
Route B    0.147208
dtype: float64","     route  total_shipments  delayed_shipments
0  Route C              183              148.0
1  Route A              204              166.0
2  Route B              197              168.0
3  Route D              203              171.0
4  Route E              213              177.0"
446,447,How many shipments took less than 3 days? (detailed),result = (df['delivery_time']<3).sum(),"# shipments with delivery_time less than 3
result = df[df['delivery_time'] < 3].shape[0]
",0,"       id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0       1  Route C       WH2           4.88             51     Customs Delay   
1       2  Route A       WH4           4.77             45       Driver Rest   
2       3  Route C       WH4           5.31            113           Traffic   
3       4  Route B       WH4           5.83             32   Minor Breakdown   
4       5  Route C       WH4           6.13            120           Traffic   
..    ...      ...       ...            ...            ...               ...   
995   996  Route B       WH2           5.60            118           Weather   
996   997  Route E       WH4           5.00             83       Driver Rest   
997   998  Route B       WH4           5.45             52       Driver Rest   
998   999  Route E       WH4           5.61            117           Traffic   
999  1000  Route B       WH3           5.52            105  Mechanical Issue   

          date  
0   2024-01-02  
1   2024-01-03  
2   2024-01-04  
3   2024-01-05  
4   2024-01-06  
..         ...  
995 2024-09-23  
996 2024-09-24  
997 2024-09-25  
998 2024-09-26  
999 2024-09-27  

[1000 rows x 7 columns]"
447,448,How many unique routes are there? (detailed),result = df['route'].nunique(),"# number of unique routes
result = df['route'].nunique()
",5,5
448,449,How many warehouses are involved? (detailed),result = df['warehouse'].nunique(),"# number of unique warehouses
result = df['warehouse'].nunique()
",4,4
449,450,Show all shipments delayed last week. (count only),df['date']=pd.to_datetime(df['date']); maxd=df['date'].max(); last_week=df[(df['date']>maxd-pd.Timedelta(days=7))]; result = last_week[last_week['delay_minutes']>0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
last_week = df[(df['date'] > max_date - pd.Timedelta(days=7))]
result = last_week[last_week['delay_minutes'] > 0].reset_index(drop=True)
","      id    route warehouse  delivery_time  delay_minutes      delay_reason  \
357  358  Route A       WH4           4.91             21  Mechanical Issue   
358  359  Route C       WH4           6.27             51           Traffic   
359  360  Route C       WH1           6.64             27       Driver Rest   
360  361  Route E       WH2           6.38             62     Customs Delay   
361  362  Route D       WH2           5.65            117           Weather   
362  363  Route A       WH3           5.72             46           Weather   
363  364  Route B       WH1           4.46            118           Traffic   
722  723  Route C       WH4           5.08             69           Traffic   
723  724  Route D       WH1           6.23             71           Weather   
725  726  Route C       WH4           5.54              6   Minor Breakdown   
726  727  Route B       WH3           6.11             26           Traffic   
727  728  Route A       WH1           5.35             38           Traffic   
728  729  Route A       WH4           6.65             97       Driver Rest   

          date  
357 2024-12-24  
358 2024-12-25  
359 2024-12-26  
360 2024-12-27  
361 2024-12-28  
362 2024-12-29  
363 2024-12-30  
722 2024-12-24  
723 2024-12-25  
725 2024-12-27  
726 2024-12-28  
727 2024-12-29  
728 2024-12-30  ",12
450,451,How many shipments took less than 3 days? (detailed),result = (df['delivery_time']<3).sum(),"# shipments with delivery_time less than 3
result = df[df['delivery_time'] < 3].shape[0]
",0,1000
451,452,Which warehouse served the most different routes? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  distinct_routes
0       WH3                5
1       WH2                5
2       WH1                5
3       WH4                5"
452,453,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3.
453,454,Which route had the longest single delay event? (count only),"idx = df['delay_minutes'].idxmax(); result = df.loc[idx, ['route','delay_minutes','date']].to_dict()","idx = df['delay_minutes'].idxmax()
result = df.loc[idx, ['route', 'delay_minutes', 'date']].to_dict()
","{'route': 'Route C', 'delay_minutes': 120, 'date': Timestamp('2024-01-06 00:00:00')}",The route with the longest single delay event is Route B with a delay of 120 minutes.
454,455,Predict next week's delay rate using historical averages. (count only),df['date']=pd.to_datetime(df['date']); last_28=df[df['date']>df['date'].max()-pd.Timedelta(days=27)]; result = (last_28['delay_minutes']>0).mean(),"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
last_28 = df[df['date'] > max_date - pd.Timedelta(days=27)]
result = (last_28['delay_minutes'] > 0).mean()
",0.8333333333333334,nan
455,456,Show total delayed shipments last month. (count only),df['date']=pd.to_datetime(df['date']); m=df['date'].max().month; y=df['date'].max().year; result = df[(df['date'].dt.month==m)&(df['date'].dt.year==y)&(df['delay_minutes']>0)].shape[0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
month = max_date.month; year = max_date.year
result = df[(df['date'].dt.month==month) & (df['date'].dt.year==year) & (df['delay_minutes']>0)].shape[0]
",48,50
456,457,Which route has the highest average delivery time? (detailed),result = df.groupby('route')['delivery_time'].mean().idxmax(),"# route with highest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmax()
",Route C,"     route  avg_delivery_time
0  Route C           5.573716
1  Route A           5.546961
2  Route D           5.461773
3  Route E           5.453333
4  Route B           5.438376"
457,458,What is the earliest shipment date recorded? (detailed),df['date']=pd.to_datetime(df['date']); result = df['date'].min(),"df['date']=pd.to_datetime(df['date'])
# earliest shipment date
result = df['date'].min()
",2024-01-01 00:00:00,The earliest shipment date recorded is 2024-01-01 00:00:00.
458,459,What is the total delay time across all shipments? (count only),result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,52784.0
459,460,What is the 95th percentile of delivery time? (detailed),result = df['delivery_time'].quantile(0.95),"# 95th percentile of delivery_time
result = df['delivery_time'].quantile(0.95)
",6.87,6.87
460,461,Show total delayed shipments last month. (count only),df['date']=pd.to_datetime(df['date']); m=df['date'].max().month; y=df['date'].max().year; result = df[(df['date'].dt.month==m)&(df['date'].dt.year==y)&(df['delay_minutes']>0)].shape[0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
month = max_date.month; year = max_date.year
result = df[(df['date'].dt.month==month) & (df['date'].dt.year==year) & (df['delay_minutes']>0)].shape[0]
",48,50
461,462,What is the average delay time across all shipments? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
462,463,What is the most recent shipment date? (detailed),df['date']=pd.to_datetime(df['date']); result = df['date'].max(),"df['date']=pd.to_datetime(df['date'])
# most recent shipment date
result = df['date'].max()
",2024-12-30 00:00:00,"    id    route warehouse  delivery_time  delay_minutes delay_reason  \
0  364  Route B       WH1           4.46            118      Traffic   

        date  
0 2024-12-30  "
463,464,What percentage of all shipments were delayed? (count only),result = (df['delay_minutes']>0).mean()*100,"# percentage of shipments delayed
result = (df['delay_minutes']>0).mean() * 100
",83.0,83.0
464,465,How many warehouses are involved? (detailed),result = df['warehouse'].nunique(),"# number of unique warehouses
result = df['warehouse'].nunique()
",4,4
465,466,Show the route-wise breakdown of delay reasons. (count only),"result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count()","# breakdown of delay reasons by route
result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count().reset_index(name='count')
","route    delay_reason    
Route A  Customs Delay       24
         Driver Rest         31
         Mechanical Issue    27
         Minor Breakdown     22
         Traffic             29
         Weather             33
Route B  Customs Delay       22
         Driver Rest         38
         Mechanical Issue    24
         Minor Breakdown     29
         Traffic             30
         Weather             25
Route C  Customs Delay       17
         Driver Rest         21
         Mechanical Issue    28
         Minor Breakdown     30
         Traffic             32
         Weather             20
Route D  Customs Delay       21
         Driver Rest         30
         Mechanical Issue    41
         Minor Breakdown     20
         Traffic             29
         Weather             30
Route E  Customs Delay       31
         Driver Rest         25
         Mechanical Issue    23
         Minor Breakdown     32
         Traffic             37
         Weather             29
Name: id, dtype: int64","      route      delay_reason  delay_count
0   Route A              None           38
1   Route A           Weather           33
2   Route A       Driver Rest           31
3   Route A           Traffic           29
4   Route A  Mechanical Issue           27
5   Route A     Customs Delay           24
6   Route A   Minor Breakdown           22
7   Route B       Driver Rest           38
8   Route B           Traffic           30
9   Route B              None           29
10  Route B   Minor Breakdown           29
11  Route B           Weather           25
12  Route B  Mechanical Issue           24
13  Route B     Customs Delay           22
14  Route C              None           35
15  Route C           Traffic           32
16  Route C   Minor Breakdown           30
17  Route C  Mechanical Issue           28
18  Route C       Driver Rest           21
19  Route C           Weather           20
20  Route C     Customs Delay           17
21  Route D  Mechanical Issue           41
22  Route D              None           32
23  Route D       Driver Rest           30
24  Route D           Weather           30
25  Route D           Traffic           29
26  Route D     Customs Delay           21
27  Route D   Minor Breakdown           20
28  Route E           Traffic           37
29  Route E              None           36
30  Route E   Minor Breakdown           32
31  Route E     Customs Delay           31
32  Route E           Weather           29
33  Route E       Driver Rest           25
34  Route E  Mechanical Issue           23"
466,467,What is the correlation between delivery_time and delay_minutes? (count only),result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,-0.004137855444638722
467,468,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3 with 38 delays.
468,469,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3.
469,470,Which warehouse had the least total delay minutes? (count only),result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,The warehouse with the least total delay minutes is WH2.
